Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image URL,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Collection
anode-headphones,Anode Wireless Headphones,"<p>Premium over-ear wireless headphones with active noise cancellation, 40-hour battery life, and spatial audio. Crafted with memory foam ear cushions and aerospace-grade aluminum frame for all-day comfort.</p>",Anode Studio,,Audio,"wireless,audio,premium,headphones,bestseller",TRUE,Color,Black,,,,,ANODE-HEADPHONES-BLK,shopify,54,deny,manual,249.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-headphones-black.jpg,1,Anode Wireless Headphones in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-headphones-black.jpg,kg,,104.58,active,Listen & Home
anode-headphones,Anode Wireless Headphones,"<p>Premium over-ear wireless headphones with active noise cancellation, 40-hour battery life, and spatial audio. Crafted with memory foam ear cushions and aerospace-grade aluminum frame for all-day comfort.</p>",Anode Studio,,Audio,"wireless,audio,premium,headphones,bestseller",TRUE,Color,Silver,,,,,ANODE-HEADPHONES-SLV,shopify,5,deny,manual,249.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-headphones-silver.jpg,2,Anode Wireless Headphones in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-headphones-silver.jpg,kg,,104.58,active,Listen & Home
anode-headphones,Anode Wireless Headphones,"<p>Premium over-ear wireless headphones with active noise cancellation, 40-hour battery life, and spatial audio. Crafted with memory foam ear cushions and aerospace-grade aluminum frame for all-day comfort.</p>",Anode Studio,,Audio,"wireless,audio,premium,headphones,bestseller",TRUE,Color,Blue,,,,,ANODE-HEADPHONES-BLU,shopify,0,deny,manual,249.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-headphones-blue.jpg,3,Anode Wireless Headphones in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-headphones-blue.jpg,kg,,104.58,active,Listen & Home
anode-speaker,Anode Sound Speaker,"<p>Compact portable Bluetooth speaker with 360-degree sound, 24-hour playback, and water-resistant design. Rich bass response and crystal-clear highs in a minimalist form factor.</p>",Anode Studio,,Audio,"speaker,bluetooth,portable,audio",TRUE,Color,Graphite,,,,,ANODE-SPEAKER-GRP,shopify,56,deny,manual,129.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-speaker-graphite.jpg,1,Anode Sound Speaker in Graphite,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-speaker-graphite.jpg,kg,,54.18,active,Listen & Home
anode-speaker,Anode Sound Speaker,"<p>Compact portable Bluetooth speaker with 360-degree sound, 24-hour playback, and water-resistant design. Rich bass response and crystal-clear highs in a minimalist form factor.</p>",Anode Studio,,Audio,"speaker,bluetooth,portable,audio",TRUE,Color,Black,,,,,ANODE-SPEAKER-BLK,shopify,0,deny,manual,129.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-speaker-black.jpg,2,Anode Sound Speaker in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-speaker-black.jpg,kg,,54.18,active,Listen & Home
anode-speaker,Anode Sound Speaker,"<p>Compact portable Bluetooth speaker with 360-degree sound, 24-hour playback, and water-resistant design. Rich bass response and crystal-clear highs in a minimalist form factor.</p>",Anode Studio,,Audio,"speaker,bluetooth,portable,audio",TRUE,Color,Blue,,,,,ANODE-SPEAKER-BLU,shopify,1,deny,manual,129.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-speaker-blue.jpg,3,Anode Sound Speaker in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-speaker-blue.jpg,kg,,54.18,active,Listen & Home
anode-earbuds,Anode True Wireless Earbuds,"<p>In-ear true wireless earbuds with adaptive noise cancellation, spatial audio, and up to 30 hours total battery life with the charging case.</p>",Anode Studio,,Audio,"earbuds,wireless,bluetooth,audio,bestseller",TRUE,Color,Silver,,,,,ANODE-EARBUDS-SLV,shopify,2,deny,manual,179.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-earbuds-silver.jpg,1,Anode True Wireless Earbuds in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-earbuds-silver.jpg,kg,,75.18,active,Listen & Home
anode-earbuds,Anode True Wireless Earbuds,"<p>In-ear true wireless earbuds with adaptive noise cancellation, spatial audio, and up to 30 hours total battery life with the charging case.</p>",Anode Studio,,Audio,"earbuds,wireless,bluetooth,audio,bestseller",TRUE,Color,Black,,,,,ANODE-EARBUDS-BLK,shopify,0,deny,manual,179.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-earbuds-black.jpg,2,Anode True Wireless Earbuds in Black,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-earbuds-black.jpg,kg,,75.18,active,Listen & Home
anode-earbuds,Anode True Wireless Earbuds,"<p>In-ear true wireless earbuds with adaptive noise cancellation, spatial audio, and up to 30 hours total battery life with the charging case.</p>",Anode Studio,,Audio,"earbuds,wireless,bluetooth,audio,bestseller",TRUE,Color,Blue,,,,,ANODE-EARBUDS-BLU,shopify,42,deny,manual,179.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-earbuds-blue.jpg,3,Anode True Wireless Earbuds in Blue,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-earbuds-blue.jpg,kg,,75.18,active,Listen & Home
anode-soundbar,Anode Studio Soundbar,"<p>3-channel soundbar with Dolby Atmos support, room calibration, and multiple connectivity options including HDMI eARC and Bluetooth.</p>",Anode Studio,,Audio,"soundbar,dolby,atmos,home-theater,audio",TRUE,Color,Silver,,,,,ANODE-SOUNDBAR-SLV,shopify,38,deny,manual,399.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-soundbar-silver.jpg,1,Anode Studio Soundbar in Silver,FALSE,,,https://cdn.shopify.com/s/files/1/0726/9194/1453/files/anode-soundbar-silver.jpg,kg,,167.58,active,Listen & Home
