"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Image","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Weight Unit","Variant Tax Code","Cost per item","Included / United States","Price / United States","Compare At Price / United States","Included / International","Price / International","Compare At Price / International","Status"
"iphone-15-pro-max-natural-titanium","iPhone 15 Pro Max 256GB - Natural Titanium","<p>The flagship iPhone 15 Pro Max in Natural Titanium pairs a 6.7-inch Super Retina XDR display with the A17 Pro chip and a pro-grade camera system featuring 5x optical zoom. Aerospace-grade titanium construction keeps the device light yet rigid, while USB-C with USB 3 speeds streamlines connectivity.</p><ul><li>6.7-inch Super Retina XDR display with ProMotion and Always-On</li><li>A17 Pro chip with 6-core GPU for console-class gaming</li><li>48MP main, 12MP ultra-wide, 12MP 5x telephoto cameras</li><li>Titanium frame for strength and reduced weight</li><li>USB-C with USB 3 speeds up to 10Gbps</li><li>Up to 29 hours video playback</li><li>Action button replaces the traditional mute switch</li></ul>","Apple","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","iPhone","iphone, smartphone, titanium, 5g, pro, flagship, ios","TRUE","Color","Natural Titanium","","","","","IP15PM-NT-256","221","shopify","100","deny","manual","1199.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pro-max-natural-titanium.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pro-max-natural-titanium.jpg","1","iPhone 15 Pro Max in Natural Titanium color front and side view","FALSE","","","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","","","IP15PM-NT-256","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"iphone-15-pro-max-blue-titanium","iPhone 15 Pro Max 256GB - Blue Titanium","<p>The iPhone 15 Pro Max in Blue Titanium delivers flagship performance wrapped in a deep blue-grey titanium finish. The 6.7-inch ProMotion display, A17 Pro chip, and 5x telephoto camera system make it a top-tier content creation tool.</p><ul><li>6.7-inch Super Retina XDR display with Always-On</li><li>A17 Pro chip with 6-core GPU</li><li>Pro camera system with 5x optical zoom telephoto</li><li>Brushed blue titanium frame</li><li>USB-C connectivity with USB 3 speeds</li><li>Up to 29 hours video playback</li><li>Action button and Dynamic Island</li></ul>","Apple","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","iPhone","iphone, smartphone, titanium, blue, 5g, pro, flagship","TRUE","Color","Blue Titanium","","","","","IP15PM-BT-256","221","shopify","100","deny","manual","1199.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pro-max-blue-titanium.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pro-max-blue-titanium.jpg","1","iPhone 15 Pro Max in Blue Titanium color front and side view","FALSE","","","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","","","IP15PM-BT-256","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"iphone-15-pro-natural-titanium","iPhone 15 Pro 128GB - Natural Titanium","<p>The iPhone 15 Pro in Natural Titanium brings pro features to a more compact 6.1-inch form factor. A17 Pro performance, titanium build, and a triple camera system with 3x telephoto make it a versatile flagship.</p><ul><li>6.1-inch Super Retina XDR display with ProMotion</li><li>A17 Pro chip with 6-core GPU</li><li>48MP main, 12MP ultra-wide, 12MP 3x telephoto</li><li>Aerospace-grade titanium frame</li><li>USB-C with USB 3 speeds up to 10Gbps</li><li>Up to 23 hours video playback</li><li>Action button and Dynamic Island</li></ul>","Apple","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","iPhone","iphone, smartphone, titanium, 5g, pro, compact","TRUE","Color","Natural Titanium","","","","","IP15P-NT-128","187","shopify","100","deny","manual","999.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pro-natural-titanium.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pro-natural-titanium.jpg","1","iPhone 15 Pro in Natural Titanium color front and side view","FALSE","","","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","","","IP15P-NT-128","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"iphone-15-pro-black-titanium","iPhone 15 Pro 128GB - Black Titanium","<p>The iPhone 15 Pro in Black Titanium pairs a dark brushed titanium finish with the A17 Pro chip and a triple camera system. A focused, premium flagship in a 6.1-inch ProMotion device.</p><ul><li>6.1-inch Super Retina XDR display with ProMotion</li><li>A17 Pro chip with 6-core GPU</li><li>48MP main, 12MP ultra-wide, 12MP 3x telephoto</li><li>Dark titanium frame</li><li>USB-C with USB 3 speeds</li><li>Up to 23 hours video playback</li><li>Action button replaces mute switch</li></ul>","Apple","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","iPhone","iphone, smartphone, titanium, black, 5g, pro","TRUE","Color","Black Titanium","","","","","IP15P-BT-128","187","shopify","100","deny","manual","999.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pro-black-titanium.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pro-black-titanium.jpg","1","iPhone 15 Pro in Black Titanium color front and side view","FALSE","","","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","","","IP15P-BT-128","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"iphone-15-plus-blue","iPhone 15 Plus 128GB - Blue","<p>The iPhone 15 Plus in Blue offers a large 6.7-inch Super Retina XDR display, A16 Bionic performance, and a dual camera system with 2x telephoto. USB-C connectivity and Dynamic Island round out the everyday flagship.</p><ul><li>6.7-inch Super Retina XDR display</li><li>A16 Bionic chip</li><li>48MP main camera with 2x telephoto</li><li>Dynamic Island</li><li>USB-C connectivity</li><li>Up to 26 hours video playback</li><li>Ceramic Shield front</li></ul>","Apple","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","iPhone","iphone, smartphone, blue, 5g, plus, large-screen","TRUE","Color","Blue","","","","","IP15PL-BL-128","201","shopify","100","deny","manual","899.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-plus-blue.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-plus-blue.jpg","1","iPhone 15 Plus in Blue color front and side view","FALSE","","","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","","","IP15PL-BL-128","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"iphone-15-pink","iPhone 15 128GB - Pink","<p>The iPhone 15 in Pink combines a soft pastel finish with a 6.1-inch Super Retina XDR display and A16 Bionic performance. The 48MP main camera and Dynamic Island bring flagship features to a comfortable size.</p><ul><li>6.1-inch Super Retina XDR display</li><li>A16 Bionic chip</li><li>48MP main camera with 2x telephoto</li><li>Dynamic Island</li><li>USB-C connectivity</li><li>Up to 20 hours video playback</li><li>Ceramic Shield front</li></ul>","Apple","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","iPhone","iphone, smartphone, pink, 5g, color","TRUE","Color","Pink","","","","","IP15-PK-128","171","shopify","100","deny","manual","799.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pink.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-15-pink.jpg","1","iPhone 15 in Pink color front and side view","FALSE","","","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","","","IP15-PK-128","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"iphone-14-midnight","iPhone 14 128GB - Midnight","<p>The iPhone 14 in Midnight delivers reliable performance with the A15 Bionic chip, 6.1-inch Super Retina XDR display, and a dual camera system. A solid everyday iPhone with Crash Detection and Cinematic mode.</p><ul><li>6.1-inch Super Retina XDR display</li><li>A15 Bionic chip with 5-core GPU</li><li>12MP main and 12MP ultra-wide cameras</li><li>Cinematic mode for video</li><li>Crash Detection</li><li>Up to 20 hours video playback</li><li>Lightning connector</li></ul>","Apple","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","iPhone","iphone, smartphone, midnight, 5g","TRUE","Color","Midnight","","","","","IP14-MN-128","172","shopify","100","deny","manual","699.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-14-midnight.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-14-midnight.jpg","1","iPhone 14 in Midnight color front and side view","FALSE","","","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","","","IP14-MN-128","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"iphone-13-starlight","iPhone 13 128GB - Starlight","<p>The iPhone 13 in Starlight offers a balanced everyday iPhone experience with the A15 Bionic chip, 6.1-inch Super Retina XDR display, and a dual camera system. Cinematic mode and improved battery life make it a great value.</p><ul><li>6.1-inch Super Retina XDR display</li><li>A15 Bionic chip</li><li>12MP main and 12MP ultra-wide cameras</li><li>Cinematic mode for video</li><li>Up to 19 hours video playback</li><li>Super Retina XDR display with True Tone</li><li>Lightning connector</li></ul>","Apple","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","iPhone","iphone, smartphone, starlight, 5g, value","TRUE","Color","Starlight","","","","","IP13-SL-128","174","shopify","100","deny","manual","599.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-13-starlight.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-13-starlight.jpg","1","iPhone 13 in Starlight color front and side view","FALSE","","","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","","","IP13-SL-128","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"iphone-se-midnight","iPhone SE 64GB - Midnight","<p>The iPhone SE in Midnight packs A15 Bionic performance into a compact 4.7-inch design with Touch ID. A practical, affordable iPhone with 5G connectivity and a familiar home button.</p><ul><li>4.7-inch Retina HD display</li><li>A15 Bionic chip</li><li>12MP main camera with Smart HDR 4</li><li>Touch ID home button</li><li>5G connectivity</li><li>Up to 15 hours video playback</li><li>Lightning connector</li></ul>","Apple","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","iPhone","iphone, smartphone, midnight, 5g, compact, touch-id","TRUE","Color","Midnight","","","","","IPSE-MN-64","144","shopify","100","deny","manual","429.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-se-midnight.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/iphone-se-midnight.jpg","1","iPhone SE 3rd gen in Midnight color front and side view","FALSE","","","Electronics > Communications > Telephony > Mobile & Smart Phones > Smart Phones","","","IPSE-MN-64","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
"macbook-air-15-m3-midnight","MacBook Air 15-inch M3 256GB - Midnight","<p>The MacBook Air 15-inch M3 in Midnight pairs a spacious 15.3-inch Liquid Retina display with the M3 chip in a remarkably thin aluminum enclosure. With an 18-hour battery life and silent fanless design, it is built for all-day productivity.</p><ul><li>15.3-inch Liquid Retina display with 500 nits</li><li>Apple M3 chip with 8-core CPU and 10-core GPU</li><li>8GB unified memory, 256GB SSD</li><li>MagSafe 3 charging plus two Thunderbolt / USB 4 ports</li><li>Up to 18 hours battery life</li><li>Fanless design for silent operation</li><li>1080p FaceTime HD camera</li></ul>","Apple","Electronics > Computers > Laptops","MacBook","macbook, laptop, m3, midnight, apple-silicon","TRUE","Color","Midnight","","","","","MBA15-M3-MN-256","1530","shopify","100","deny","manual","1299.00","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/macbook-air-15-m3-midnight.jpg","TRUE","","https://cdn.shopify.com/s/files/1/0726/9194/1453/files/macbook-air-15-m3-midnight.jpg","1","MacBook Air 15-inch M3 in Midnight color open laptop view","FALSE","","","Electronics > Computers > Laptops","","","MBA15-M3-MN-256","new","","","","","","","g","","","TRUE","","","TRUE","","","active"
